age,grade_level,sex,time_on_visuals,audio_replay_count,drag_and_drop_actions,puzzle_attempts,help_button_clicks,time_to_completion,preferred_instruction_type,task_skips,interaction_rate,learning_style
10,Junior Secondary School 1,Female,34.65010131,2,8,4,1,130.0765662,text,1,43.16350332,Kinesthetic
12,Junior Secondary School 3,Male,56.7056656,2,10,6,1,146.6555242,text,0,50.84427342,Kinesthetic
7,Primary 3,Male,53.36984579,6,1,5,2,135.4254859,audio,0,25.77342785,Auditory
7,Primary 3,Female,87.19194385,2,4,4,0,130.0130583,animation,1,27.63487767,Visual
10,Junior Secondary School 1,Female,50.21675945,2,2,5,2,166.6124006,audio,0,29.28643502,Auditory
10,Primary 5,Male,41.51066286,4,2,4,1,132.2925911,audio,1,34.66637947,Auditory
5,Primary 1,Male,88.92340228,1,5,2,1,159.3151855,animation,0,28.34289772,Visual
9,Primary 4,Female,43.64347257,3,11,7,0,125.6207701,animation,0,44.24697606,Kinesthetic
7,Primary 2,Male,78.00333882,1,2,3,1,147.2603257,animation,1,32.58625596,Visual
5,Nursery,Female,101.9311396,2,4,2,1,153.2008863,text,0,38.49062478,Visual
9,Primary 5,Male,57.9450724,1,2,1,0,185.1254236,text,0,22.22631853,Logical
4,Nursery,Female,44.95754237,5,0,4,1,136.8000537,audio,0,26.06656725,Auditory
8,Primary 4,Female,62.41062444,3,10,4,0,144.2421791,animation,0,45.15956621,Kinesthetic
8,Primary 4,Male,30.18485453,3,1,5,1,193.6760253,audio,0,22.48430596,Auditory
11,Junior Secondary School 1,Female,72.0582483,2,4,2,0,142.7321526,text,0,20.85277391,Logical
12,Junior Secondary School 3,Female,40.0008549,2,8,6,1,95.1902345,text,0,53.18354805,Kinesthetic
7,Primary 2,Male,44.66981202,2,10,5,0,123.1744592,text,0,42.4550921,Kinesthetic
6,Primary 2,Female,86.13627361,1,2,3,1,138.3471376,text,1,34.67908818,Visual
8,Primary 4,Female,56.60936332,1,5,1,0,142.5342666,text,0,19.4555171,Logical
11,Junior Secondary School 1,Female,97.13426155,3,4,2,0,126.3560231,animation,0,31.49573374,Visual
7,Primary 3,Female,69.44088827,1,6,2,0,195.8243017,text,0,22.11707909,Logical
10,Junior Secondary School 1,Male,96.86893584,2,1,3,1,157.7918423,animation,0,29.23019233,Visual
9,Primary 5,Male,31.50465683,5,4,4,1,184.9656531,audio,0,30.27609174,Auditory
10,Junior Secondary School 1,Male,66.94288625,2,3,2,0,169.7999708,text,0,19.60595546,Logical
10,Junior Secondary School 1,Female,57.5517423,8,2,5,1,143.6841772,audio,1,29.90835004,Auditory
5,Primary 1,Female,82.66403504,0,3,4,0,103.9151769,animation,1,34.70906155,Visual
7,Primary 2,Female,59.95140387,1,8,1,0,145.7477583,text,0,23.62483596,Logical
4,Nursery,Male,57.22915006,5,5,3,2,123.63184,audio,1,28.72958167,Auditory
5,Nursery,Female,67.80237783,0,3,3,1,146.0848319,text,0,29.66877756,Visual
12,Junior Secondary School 3,Male,26.27707916,6,4,3,2,167.0934414,audio,1,30.39028934,Auditory
12,Junior Secondary School 3,Female,54.07406388,1,6,2,0,162.1932864,text,0,17.88642447,Logical
11,Junior Secondary School 2,Female,41.0085513,4,1,5,1,192.0164371,audio,0,23.35056615,Auditory
5,Nursery,Male,55.32641657,2,7,5,1,125.5314158,text,0,49.43172066,Kinesthetic
9,Primary 4,Female,43.3034379,7,2,5,1,231.6493754,audio,1,24.08025827,Auditory
10,Junior Secondary School 1,Male,27.08438117,6,1,5,1,126.1868249,audio,1,21.7847047,Auditory
8,Primary 3,Male,86.73803107,4,0,2,0,140.8680895,text,0,23.74039519,Logical
8,Primary 3,Female,56.39455945,2,11,5,0,124.0981866,text,1,45.15918368,Kinesthetic
9,Primary 5,Female,87.4203212,0,3,3,0,142.7966312,animation,0,20.76875723,Visual
7,Primary 3,Male,41.88692099,1,7,7,1,89.90910952,text,1,42.3834454,Kinesthetic
9,Primary 4,Male,62.41171712,0,7,1,0,164.9157384,text,0,21.15612191,Logical
12,Junior Secondary School 2,Female,63.97038018,8,1,4,1,199.1951513,audio,0,22.88332593,Auditory
11,Junior Secondary School 2,Female,103.0885422,1,1,2,0,130.093632,text,0,26.4897593,Visual
10,Primary 5,Female,90.1118689,1,1,2,1,169.4408154,text,0,31.00430684,Visual
11,Junior Secondary School 2,Male,53.79218725,2,2,4,2,176.5142034,audio,0,22.56497462,Auditory
4,Nursery,Female,24.31038367,5,1,4,2,133.0544048,audio,0,21.11231489,Auditory
9,Primary 5,Male,43.70859352,4,7,6,1,101.9734068,text,0,40.59131533,Kinesthetic
6,Primary 1,Female,98.34163803,0,4,3,1,159.7778464,animation,0,30.99423667,Visual
11,Junior Secondary School 2,Female,73.74273122,1,3,4,1,138.3291084,animation,1,29.20330743,Visual
5,Primary 1,Male,39.97039119,6,3,3,1,164.521307,audio,0,29.13090549,Auditory
6,Primary 1,Male,51.81588754,4,9,4,1,192.4404239,text,1,50.64394254,Kinesthetic
8,Primary 4,Male,64.55009438,3,14,5,1,104.500847,text,1,45.20670966,Kinesthetic
8,Primary 4,Female,27.71869875,5,0,4,2,133.2038731,audio,1,28.1402968,Auditory
10,Primary 5,Male,69.70826022,1,6,1,0,150.3582729,text,0,22.60389106,Logical
7,Primary 3,Female,69.13177627,1,2,2,0,141.2860905,text,0,18.96759451,Logical
10,Junior Secondary School 1,Female,57.79815825,1,2,1,0,219.5151116,text,0,20.75491386,Logical
10,Primary 5,Female,45.47455572,2,15,7,0,78.04092598,text,0,34.14433754,Kinesthetic
8,Primary 3,Female,75.46999676,0,5,4,0,176.2949392,text,0,33.37700122,Visual
8,Primary 3,Male,65.13864746,3,4,3,0,136.4213891,animation,1,26.86665722,Visual
6,Primary 2,Female,75.21872209,2,20,5,1,112.1913237,animation,1,38.79315513,Kinesthetic
10,Junior Secondary School 1,Female,46.92357066,1,7,2,0,203.6797168,text,0,19.51074965,Logical
10,Junior Secondary School 1,Male,59.04108133,2,9,6,0,122.0453522,animation,1,51.57353894,Kinesthetic
7,Primary 3,Male,82.57707331,3,5,4,0,138.4239004,text,1,37.00367674,Visual
5,Nursery,Female,51.09768072,1,16,4,1,165.8614757,animation,0,41.7228334,Kinesthetic
7,Primary 3,Male,28.00694095,1,15,5,1,99.46859717,animation,0,28.67740623,Kinesthetic
10,Junior Secondary School 1,Female,76.13932658,1,5,3,0,148.5287186,text,1,32.20592339,Visual
10,Junior Secondary School 1,Male,29.49670025,7,2,4,2,190.8381406,audio,0,24.82553111,Auditory
10,Junior Secondary School 1,Female,64.3155732,0,15,7,0,158.1001892,text,0,29.02575861,Kinesthetic
7,Primary 2,Female,83.01451632,2,2,4,0,171.9728212,text,1,30.48419473,Visual
8,Primary 3,Female,55.91732293,4,9,6,1,115.4423839,text,1,47.85087198,Kinesthetic
4,Nursery,Female,84.57028525,1,4,2,0,154.4491103,text,1,29.2695148,Visual
10,Primary 5,Male,44.44690845,6,4,3,2,146.2980911,audio,1,26.56467423,Auditory
11,Junior Secondary School 1,Male,73.42657958,2,9,7,1,119.1146575,text,1,47.3969905,Kinesthetic
11,Junior Secondary School 2,Female,73.77276531,0,2,4,0,175.1408208,animation,1,26.36370171,Visual
8,Primary 3,Female,67.54073885,2,2,1,0,178.6533109,text,0,15.42764345,Logical
12,Junior Secondary School 3,Female,28.7811376,8,3,5,1,134.9654758,audio,1,26.85029859,Auditory
8,Primary 3,Female,44.40202401,1,7,4,1,161.8596478,text,0,33.97628635,Kinesthetic
7,Primary 2,Male,90.93849096,1,1,2,1,141.1017226,animation,1,22.60446943,Visual
10,Primary 5,Male,49.96416812,2,2,1,0,140.6059065,text,0,21.44924977,Logical
9,Primary 4,Female,69.58722578,0,4,2,0,212.9685747,text,0,15.74265395,Logical
12,Junior Secondary School 3,Female,74.6458231,0,5,2,0,156.9274402,text,0,14.48505478,Logical
12,Junior Secondary School 2,Male,38.05910546,5,6,6,1,111.1550091,text,0,46.00558533,Kinesthetic
11,Junior Secondary School 2,Female,37.07430299,6,3,3,1,184.9532165,audio,0,26.73646587,Auditory
7,Primary 3,Male,35.79816178,2,1,5,2,149.5956937,audio,0,24.12760429,Auditory
8,Primary 4,Female,50.81473171,5,2,5,1,185.6560256,audio,0,21.38141317,Auditory
5,Primary 1,Male,34.18292441,6,1,4,1,124.79817,audio,1,20.18190537,Auditory
7,Primary 3,Male,45.76149131,5,1,5,2,118.9466783,audio,1,24.08583182,Auditory
12,Junior Secondary School 2,Female,56.84446498,1,5,2,0,159.9358239,text,0,25.04290463,Logical
6,Primary 1,Female,90.87848091,0,2,4,1,164.5778987,animation,1,25.40360267,Visual
9,Primary 5,Female,87.81385305,3,2,4,1,161.9746217,animation,1,36.38144787,Visual
8,Primary 4,Male,86.76016194,2,3,3,0,150.0235471,animation,1,33.70516739,Visual
5,Nursery,Male,59.3233855,0,4,1,0,183.3412961,text,0,21.62106693,Logical
11,Junior Secondary School 1,Male,69.26715277,0,4,1,0,173.1939078,text,0,22.72064308,Logical
12,Junior Secondary School 3,Female,40.46524089,2,11,7,0,118.3280358,text,1,45.17907215,Kinesthetic
11,Junior Secondary School 2,Male,72.54886077,4,11,4,1,153.5366331,animation,0,50.56956124,Kinesthetic
6,Primary 1,Male,66.76390475,3,2,2,0,193.6469097,text,0,14.63697178,Logical
5,Primary 1,Male,67.52188122,1,1,1,0,119.4132909,text,0,18.99967215,Logical
6,Primary 1,Male,81.43480233,0,1,4,0,157.4843736,text,1,32.51205212,Visual
11,Junior Secondary School 2,Male,28.2345675,4,3,4,1,119.5263301,audio,0,27.98871845,Auditory
5,Nursery,Male,48.29407906,3,7,4,1,95.01379682,animation,0,40.39822192,Kinesthetic
7,Primary 2,Female,44.1079179,2,11,7,0,119.0622978,text,1,48.87029291,Kinesthetic
12,Junior Secondary School 3,Female,52.53596378,2,11,4,0,115.884437,animation,0,44.94950389,Kinesthetic
11,Junior Secondary School 1,Male,70.354606,1,8,6,1,115.595958,text,1,48.59114358,Kinesthetic
9,Primary 4,Female,97.13791027,1,2,2,1,132.1085739,animation,0,26.83542807,Visual
4,Nursery,Male,38.74435245,9,2,5,1,157.13594,audio,1,21.32896783,Auditory
6,Primary 1,Male,53.05534003,3,2,5,1,143.6860931,audio,1,26.80555919,Auditory
7,Primary 3,Female,69.15459112,1,6,4,1,113.6090581,text,0,43.41708355,Kinesthetic
8,Primary 3,Female,78.128812,3,4,2,0,149.30935,animation,1,32.18969955,Visual
6,Primary 1,Female,33.22513226,5,2,3,2,209.8495112,audio,0,22.65286214,Auditory
10,Junior Secondary School 1,Male,66.72619673,0,5,1,0,187.7728561,text,0,24.72107051,Logical
7,Primary 2,Male,39.80907012,2,3,5,1,161.667431,audio,0,18.5775204,Auditory
12,Junior Secondary School 3,Female,82.8413825,1,2,2,0,177.7258285,animation,1,28.92194981,Visual
10,Junior Secondary School 1,Male,44.55859484,3,3,1,0,172.0445522,text,0,22.48015093,Logical
10,Junior Secondary School 1,Male,75.94976796,2,7,1,0,164.8834813,text,0,21.01473747,Logical
9,Primary 4,Female,41.63710583,4,2,4,2,194.7200251,audio,1,23.60304795,Auditory
8,Primary 3,Male,44.60967352,4,3,5,1,189.3520446,audio,0,23.44288784,Auditory
11,Junior Secondary School 1,Female,26.22348822,1,7,6,1,152.9775401,animation,1,39.69482168,Kinesthetic
7,Primary 2,Female,77.95233637,0,3,3,1,140.7852897,text,1,20.64271597,Visual
5,Primary 1,Male,73.67886343,0,3,2,1,137.8882708,animation,1,23.25179166,Visual
10,Junior Secondary School 1,Male,84.08317261,0,4,4,1,148.5555424,text,1,29.26374265,Visual
6,Primary 1,Female,87.66587911,1,6,4,1,126.744255,animation,0,35.46386016,Visual
12,Junior Secondary School 2,Male,50.13676705,3,2,4,2,166.9890448,audio,1,26.09048001,Auditory
5,Nursery,Female,37.90108337,5,1,4,2,150.923072,audio,1,22.69395011,Auditory
12,Junior Secondary School 2,Male,72.10001679,2,4,2,0,191.8683315,text,0,24.68285908,Logical
10,Junior Secondary School 1,Male,89.97312857,3,6,3,0,132.7491751,animation,0,33.10643992,Visual
6,Primary 1,Male,84.81870315,1,4,4,0,189.5405117,animation,1,25.70390362,Visual
5,Nursery,Female,62.37318012,3,11,7,0,109.6310961,animation,0,47.91519899,Kinesthetic
10,Primary 5,Male,51.93391053,1,3,1,0,160.6180994,text,0,21.37250082,Logical
9,Primary 4,Male,41.68722826,3,12,7,1,81.99096318,animation,1,52.45431094,Kinesthetic
7,Primary 3,Female,98.30211029,1,1,2,0,142.0503756,animation,0,34.3134407,Visual
8,Primary 4,Female,55.92334038,1,8,7,0,124.669563,animation,0,34.96415173,Kinesthetic
8,Primary 3,Male,88.89647582,1,6,2,0,153.694774,animation,1,36.45989786,Visual
11,Junior Secondary School 1,Male,46.80283599,0,8,1,0,214.8595864,text,0,15.84687061,Logical
9,Primary 4,Male,63.01855844,7,0,5,1,162.0064012,audio,0,28.10140912,Auditory
9,Primary 5,Male,71.65707841,1,4,2,0,178.1760255,text,0,21.15046542,Logical
4,Nursery,Male,24.74094043,5,3,4,1,208.91118,audio,1,23.63419226,Auditory
5,Primary 1,Male,18.54167995,8,1,3,1,161.734269,audio,1,22.78999117,Auditory
8,Primary 4,Male,32.84130438,4,9,5,1,135.1222108,animation,0,39.76842566,Kinesthetic
7,Primary 3,Male,37.83495374,3,4,3,2,132.7820429,audio,1,25.23774021,Auditory
11,Junior Secondary School 1,Female,30.25328353,2,2,5,2,153.6612647,audio,1,23.72459232,Auditory
12,Junior Secondary School 2,Female,30.59069421,1,10,4,0,132.6298664,text,0,46.05603357,Kinesthetic
6,Primary 1,Female,57.68882344,1,3,1,0,121.0718171,text,0,24.21761049,Logical
10,Junior Secondary School 1,Male,42.27952738,7,1,5,1,190.1219443,audio,1,21.80038526,Auditory
12,Junior Secondary School 3,Male,36.96214399,3,2,5,2,138.684338,audio,0,23.33257944,Auditory
7,Primary 2,Female,58.36945154,0,4,2,0,164.2218984,text,0,27.50350648,Logical
5,Primary 1,Male,37.87183632,2,9,4,0,112.9272087,text,0,34.13273684,Kinesthetic
4,Nursery,Male,54.0854069,3,10,6,0,115.4140533,animation,0,42.33231434,Kinesthetic
5,Nursery,Male,53.98168205,0,3,1,0,175.9234756,text,0,22.62807301,Logical
9,Primary 5,Female,74.49793729,0,5,2,1,182.25644,animation,0,23.80039277,Visual
6,Primary 2,Male,70.04826892,1,8,6,1,114.6584823,text,0,54.73750998,Kinesthetic
7,Primary 2,Male,43.04743869,3,3,4,1,199.5861837,audio,1,27.89223262,Auditory
6,Primary 2,Female,36.41286393,5,2,5,1,144.4935294,audio,0,22.95483689,Auditory
6,Primary 1,Male,19.4134319,2,3,3,1,143.7581391,audio,1,28.55039303,Auditory
12,Junior Secondary School 3,Female,112.5772592,0,2,4,0,163.6188209,text,1,29.11015174,Visual
4,Nursery,Male,54.18769732,1,7,2,0,204.0520459,text,0,17.68042504,Logical
8,Primary 3,Male,78.9373843,1,3,4,0,166.3918782,text,0,37.21763511,Visual
6,Primary 2,Male,39.52158256,1,18,7,1,102.4942938,text,1,45.05295292,Kinesthetic
9,Primary 4,Male,55.20422109,1,10,7,1,145.8496281,text,1,54.62507094,Kinesthetic
7,Primary 3,Female,50.87623087,1,4,5,1,179.4000639,audio,0,31.24753515,Auditory
8,Primary 3,Female,96.55498366,0,0,3,0,163.3693458,animation,0,22.36672754,Visual
9,Primary 5,Male,62.36444877,6,4,3,0,130.6255698,text,0,33.2810856,Visual
8,Primary 4,Female,44.58211989,4,14,5,0,148.0751228,text,1,44.55049647,Kinesthetic
11,Junior Secondary School 1,Male,72.49021028,1,4,2,0,177.1552317,text,0,20.14668755,Logical
10,Junior Secondary School 1,Female,41.59745347,1,6,2,0,231.4290406,text,0,22.15694621,Logical
11,Junior Secondary School 2,Male,77.29286313,1,15,4,1,197.4146818,text,0,31.77711992,Kinesthetic
12,Junior Secondary School 3,Female,38.65023813,1,8,5,1,105.5923698,text,1,45.67402064,Kinesthetic
12,Junior Secondary School 3,Female,91.66086649,0,2,2,1,187.9720004,animation,0,39.25873805,Visual
10,Junior Secondary School 1,Male,45.74144199,2,11,5,0,134.5438933,animation,1,38.28129984,Kinesthetic
7,Primary 2,Male,55.72326915,2,4,1,0,178.4185251,text,0,17.13360068,Logical
5,Primary 1,Male,38.52730124,2,8,6,0,127.7626876,animation,0,47.02416844,Kinesthetic
12,Junior Secondary School 3,Female,50.48755025,3,0,3,2,191.2292729,audio,1,19.74004242,Auditory
7,Primary 2,Female,74.27962994,2,3,4,0,129.9154158,animation,0,30.48080368,Visual
5,Primary 1,Female,66.66543258,0,5,4,0,141.095684,animation,1,22.87698492,Visual
6,Primary 2,Male,42.96968396,8,0,4,2,135.8610101,audio,1,29.99508647,Auditory
12,Junior Secondary School 3,Male,51.6065932,0,5,1,0,241.8957295,text,0,18.63640455,Logical
11,Junior Secondary School 2,Female,36.41222134,2,11,5,1,61.43950597,animation,1,46.6158144,Kinesthetic
9,Primary 4,Female,70.9532085,0,5,4,0,120.5785552,text,0,32.20877827,Visual
12,Junior Secondary School 3,Female,58.55584036,5,5,5,1,198.5421361,audio,1,23.94156681,Auditory
12,Junior Secondary School 3,Female,47.46634324,1,0,1,0,143.0643716,text,0,22.60732437,Logical
4,Nursery,Male,59.66461632,0,2,2,0,183.3753763,text,0,20.31195884,Logical
10,Junior Secondary School 1,Male,48.55693759,4,5,7,0,154.4156292,animation,1,41.02299748,Kinesthetic
4,Nursery,Female,47.30458976,2,1,5,1,153.5360061,audio,0,35.31579981,Auditory
5,Primary 1,Male,50.69505901,0,3,1,0,191.4931753,text,0,15.74054702,Logical
12,Junior Secondary School 3,Male,39.66746456,0,10,4,1,108.9337503,text,0,41.05287098,Kinesthetic
7,Primary 3,Male,67.26400383,4,3,1,0,147.461748,text,0,21.95004934,Logical
10,Junior Secondary School 1,Female,38.9072523,5,1,5,1,95.60077779,audio,1,35.67004004,Auditory
5,Primary 1,Male,88.11726285,0,3,2,0,134.3241643,animation,1,33.56886944,Visual
5,Primary 1,Male,91.41089739,2,0,4,0,135.2041525,animation,1,32.78243549,Visual
4,Nursery,Female,90.6672437,0,1,3,0,129.9848751,animation,0,36.10844569,Visual
7,Primary 2,Female,71.4433448,0,2,2,0,178.1489397,text,0,18.49756251,Logical
11,Junior Secondary School 2,Female,26.04822527,1,2,3,1,120.7405752,audio,0,17.75626112,Auditory
8,Primary 3,Female,29.89557382,5,3,5,1,178.3290231,audio,0,27.98057173,Auditory
6,Primary 2,Female,31.42870688,3,7,4,1,152.9884595,animation,0,30.48293945,Kinesthetic
12,Junior Secondary School 3,Female,46.68655161,11,2,4,1,167.9275381,audio,0,29.10833879,Auditory
6,Primary 1,Female,57.27819248,2,4,4,1,156.011895,text,1,45.18489525,Kinesthetic
10,Primary 5,Female,46.41180146,4,15,7,1,118.8162368,animation,1,38.16017996,Kinesthetic
8,Primary 4,Male,70.95688205,0,4,4,1,152.1829137,animation,1,37.9182179,Visual
5,Nursery,Female,20.08576511,7,2,3,2,156.8241183,audio,0,30.07047495,Auditory
5,Nursery,Female,43.48787021,3,16,7,1,165.314332,animation,0,45.15144563,Kinesthetic
11,Junior Secondary School 1,Male,43.92110876,1,6,2,0,179.3859983,text,0,19.80725379,Logical
12,Junior Secondary School 2,Male,66.11671539,3,4,5,0,150.0610108,text,1,31.94034721,Kinesthetic
9,Primary 4,Female,73.43564203,1,2,4,1,168.2085363,text,0,28.55391305,Visual
5,Primary 1,Male,54.93400447,6,9,7,0,149.2649711,animation,0,34.61275087,Kinesthetic
5,Nursery,Male,51.43497297,0,3,2,0,133.8619043,text,0,21.96092474,Logical
11,Junior Secondary School 1,Female,30.86581299,1,4,1,0,206.0688929,text,0,20.82649317,Logical
10,Primary 5,Female,27.60721119,0,10,4,0,124.8062584,animation,0,40.91743852,Kinesthetic
8,Primary 3,Female,95.59242691,1,5,3,1,120.3831195,animation,1,40.01890582,Visual
6,Primary 1,Male,42.89268891,2,1,5,2,142.9301664,audio,1,22.81818279,Auditory
11,Junior Secondary School 2,Male,49.52350555,0,7,2,0,152.9437282,text,0,24.86967096,Logical
11,Junior Secondary School 2,Female,103.4230959,0,7,2,1,132.8004904,text,0,30.04732951,Visual
10,Primary 5,Male,31.79998036,8,4,3,2,175.0957127,audio,1,19.3801168,Auditory
7,Primary 2,Female,36.30574199,8,3,3,1,110.0227137,audio,0,27.37984374,Auditory
10,Junior Secondary School 1,Male,31.67922938,1,7,5,1,124.0744203,animation,1,30.30991984,Kinesthetic
7,Primary 3,Female,47.54309256,3,8,6,0,116.9638368,text,0,34.88985564,Kinesthetic
9,Primary 4,Female,58.34437061,5,12,6,1,125.3850804,text,1,41.6653683,Kinesthetic
5,Nursery,Female,86.54142838,1,4,3,0,148.5950519,animation,0,32.02951954,Visual
12,Junior Secondary School 3,Female,58.47108923,0,9,2,0,188.9291878,text,0,19.61212069,Logical
6,Primary 2,Male,34.85255863,3,6,5,2,97.75532132,audio,0,24.80036624,Auditory
5,Nursery,Male,62.14685165,0,3,2,0,192.8826618,text,0,17.12231908,Logical
7,Primary 3,Male,42.19353499,4,4,4,2,192.5912948,audio,0,23.41867052,Auditory
8,Primary 3,Male,57.55954697,2,12,6,1,151.6423483,animation,0,45.99333038,Kinesthetic
12,Junior Secondary School 3,Female,74.97328347,1,2,2,1,162.3869969,animation,0,24.82860422,Visual
10,Junior Secondary School 1,Male,103.2677234,0,1,3,0,154.775539,animation,1,18.17710841,Visual
8,Primary 3,Female,40.38578707,6,2,4,1,143.393521,audio,1,25.63587095,Auditory
6,Primary 2,Female,44.96573887,6,2,5,1,208.237403,audio,0,28.91040659,Auditory
5,Nursery,Male,48.44574129,1,6,2,0,156.0563319,text,0,16.09828583,Logical
