age,time_on_visuals,audio_replay_count,drag_and_drop_actions,puzzle_attempts,help_button_clicks,time_to_completion,task_skips,interaction_rate,grade_level_Junior Secondary School 2,grade_level_Junior Secondary School 3,grade_level_Nursery,grade_level_Primary 1,grade_level_Primary 2,grade_level_Primary 3,grade_level_Primary 4,grade_level_Primary 5,sex_Male,preferred_instruction_type_audio,preferred_instruction_type_text,learning_style_Kinesthetic,learning_style_Logical,learning_style_Visual
6,58.52569177,0,6,2,0,209.6538704,0,21.82273251,False,False,False,False,True,False,False,False,False,False,True,False,True,False
12,94.4450201,2,1,4,1,153.8736766,1,35.75737767,True,False,False,False,False,False,False,False,False,False,True,False,False,True
9,61.36185784,1,6,1,0,226.6160672,0,19.58651294,False,False,False,False,False,False,False,True,False,False,True,False,True,False
5,36.14586314,6,1,4,1,194.8155631,0,38.1716387,False,False,True,False,False,False,False,False,True,True,False,False,False,False
10,27.52321855,5,4,3,2,137.6003608,0,21.911548,False,False,False,False,False,False,False,True,True,True,False,False,False,False
8,26.16405838,7,4,5,2,170.5164464,1,29.34870143,False,False,False,False,False,False,True,False,True,True,False,False,False,False
10,46.38351979,1,3,5,1,183.1795727,1,22.16443219,False,False,False,False,False,False,False,False,False,True,False,False,False,False
12,51.23535923,3,6,1,0,192.8184336,0,21.75824002,False,True,False,False,False,False,False,False,False,False,True,False,True,False
7,75.20308981,2,2,3,1,158.3078943,1,28.1350577,False,False,False,False,True,False,False,False,False,False,False,False,False,True
5,61.13237856,1,3,1,0,182.9084082,0,19.28504961,False,False,False,True,False,False,False,False,False,False,True,False,True,False
5,69.22128021,0,1,3,1,157.2251368,0,34.20272357,False,False,False,True,False,False,False,False,False,False,False,False,False,True
12,50.87048601,0,5,2,0,146.6287419,0,18.58358897,False,True,False,False,False,False,False,False,True,False,True,False,True,False
7,82.01995704,1,6,2,1,165.029951,0,29.31831606,False,False,False,False,False,True,False,False,True,False,False,False,False,True
12,27.68104324,1,6,7,0,98.18865031,0,37.41851416,False,True,False,False,False,False,False,False,False,False,False,True,False,False
12,79.91369172,1,4,4,1,158.2745587,1,29.45687606,False,True,False,False,False,False,False,False,True,False,False,False,False,True
8,99.79175048,3,3,4,1,145.9723869,0,30.59919915,False,False,False,False,False,False,True,False,False,False,True,False,False,True
5,47.32829077,9,3,5,1,190.9921219,0,24.07617226,False,False,False,True,False,False,False,False,True,True,False,False,False,False
9,50.92737627,6,4,3,1,115.1347867,1,25.85342915,False,False,False,False,False,False,True,False,False,True,False,False,False,False
12,93.14423972,3,3,4,0,135.9934567,1,26.52343995,False,True,False,False,False,False,False,False,True,False,True,False,False,True
4,64.39629228,0,2,2,0,149.8971761,0,16.94970895,False,False,True,False,False,False,False,False,False,False,True,False,True,False
4,95.66322975,1,3,3,1,157.6863253,1,31.91792278,False,False,True,False,False,False,False,False,True,False,False,False,False,True
12,39.45521789,4,16,5,1,98.60154795,0,40.08361088,True,False,False,False,False,False,False,False,False,False,False,True,False,False
10,60.00956602,0,1,1,0,175.7754421,0,24.85836591,False,False,False,False,False,False,False,True,True,False,True,False,True,False
10,31.57319638,2,0,5,1,158.5303926,1,26.85197327,False,False,False,False,False,False,False,True,False,True,False,False,False,False
12,39.69821785,1,2,1,0,205.5980842,0,18.15237509,False,True,False,False,False,False,False,False,True,False,True,False,True,False
9,93.95828175,1,5,2,1,132.4491743,0,33.03917322,False,False,False,False,False,False,False,True,False,False,False,False,False,True
10,21.4060582,8,3,4,2,173.1304545,1,23.13145066,False,False,False,False,False,False,False,True,True,True,False,False,False,False
12,88.86766112,0,1,2,1,111.1874044,0,33.09261986,True,False,False,False,False,False,False,False,True,False,True,False,False,True
8,44.13982152,5,1,3,2,189.7987342,1,29.6384699,False,False,False,False,False,False,True,False,True,True,False,False,False,False
11,87.18668125,0,6,3,0,135.6459539,1,34.64816662,True,False,False,False,False,False,False,False,False,False,False,False,False,True
5,47.96403785,1,6,1,0,159.1582871,0,19.27358339,False,False,True,False,False,False,False,False,True,False,True,False,True,False
4,83.53797491,0,3,3,1,150.4325173,1,25.49700417,False,False,True,False,False,False,False,False,True,False,True,False,False,True
5,69.06182294,0,9,2,0,186.999953,0,19.0191581,False,False,False,True,False,False,False,False,True,False,True,False,True,False
6,50.81041094,1,12,6,1,90.46950137,1,39.16161162,False,False,False,True,False,False,False,False,False,False,True,True,False,False
5,46.83852382,1,0,5,2,152.733257,0,27.81606161,False,False,False,True,False,False,False,False,False,True,False,False,False,False
7,105.4133439,3,5,2,1,144.8077735,0,28.99230936,False,False,False,False,True,False,False,False,False,False,False,False,False,True
10,48.53684875,0,6,1,0,130.1041012,0,19.45586106,False,False,False,False,False,False,False,False,True,False,True,False,True,False
10,73.60760136,1,3,2,0,215.6360108,0,17.44759952,False,False,False,False,False,False,False,True,True,False,True,False,True,False
7,56.27968267,1,8,1,0,171.3571937,0,18.07634214,False,False,False,False,False,True,False,False,False,False,True,False,True,False
12,65.50799425,1,6,1,0,211.5261435,0,19.60836011,True,False,False,False,False,False,False,False,False,False,True,False,True,False
9,84.26600001,2,1,4,0,158.7070306,1,30.70039228,False,False,False,False,False,False,True,False,True,False,True,False,False,True
9,81.52058007,0,3,2,0,149.1144416,1,31.31782762,False,False,False,False,False,False,False,True,True,False,False,False,False,True
7,45.4483034,1,2,5,1,200.6487573,1,25.92422157,False,False,False,False,False,True,False,False,False,True,False,False,False,False
11,89.71179548,1,1,4,0,151.6295509,0,32.21496353,True,False,False,False,False,False,False,False,True,False,False,False,False,True
10,34.65010131,2,8,4,1,130.0765662,1,43.16350332,False,False,False,False,False,False,False,False,False,False,True,True,False,False
12,56.7056656,2,10,6,1,146.6555242,0,50.84427342,False,True,False,False,False,False,False,False,True,False,True,True,False,False
7,53.36984579,6,1,5,2,135.4254859,0,25.77342785,False,False,False,False,False,True,False,False,True,True,False,False,False,False
7,87.19194385,2,4,4,0,130.0130583,1,27.63487767,False,False,False,False,False,True,False,False,False,False,False,False,False,True
10,50.21675945,2,2,5,2,166.6124006,0,29.28643502,False,False,False,False,False,False,False,False,False,True,False,False,False,False
10,41.51066286,4,2,4,1,132.2925911,1,34.66637947,False,False,False,False,False,False,False,True,True,True,False,False,False,False
5,88.92340228,1,5,2,1,159.3151855,0,28.34289772,False,False,False,True,False,False,False,False,True,False,False,False,False,True
9,43.64347257,3,11,7,0,125.6207701,0,44.24697606,False,False,False,False,False,False,True,False,False,False,False,True,False,False
7,78.00333882,1,2,3,1,147.2603257,1,32.58625596,False,False,False,False,True,False,False,False,True,False,False,False,False,True
5,101.9311396,2,4,2,1,153.2008863,0,38.49062478,False,False,True,False,False,False,False,False,False,False,True,False,False,True
9,57.9450724,1,2,1,0,185.1254236,0,22.22631853,False,False,False,False,False,False,False,True,True,False,True,False,True,False
4,44.95754237,5,0,4,1,136.8000537,0,26.06656725,False,False,True,False,False,False,False,False,False,True,False,False,False,False
8,62.41062444,3,10,4,0,144.2421791,0,45.15956621,False,False,False,False,False,False,True,False,False,False,False,True,False,False
8,30.18485453,3,1,5,1,193.6760253,0,22.48430596,False,False,False,False,False,False,True,False,True,True,False,False,False,False
11,72.0582483,2,4,2,0,142.7321526,0,20.85277391,False,False,False,False,False,False,False,False,False,False,True,False,True,False
12,40.0008549,2,8,6,1,95.1902345,0,53.18354805,False,True,False,False,False,False,False,False,False,False,True,True,False,False
7,44.66981202,2,10,5,0,123.1744592,0,42.4550921,False,False,False,False,True,False,False,False,True,False,True,True,False,False
6,86.13627361,1,2,3,1,138.3471376,1,34.67908818,False,False,False,False,True,False,False,False,False,False,True,False,False,True
8,56.60936332,1,5,1,0,142.5342666,0,19.4555171,False,False,False,False,False,False,True,False,False,False,True,False,True,False
11,97.13426155,3,4,2,0,126.3560231,0,31.49573374,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,69.44088827,1,6,2,0,195.8243017,0,22.11707909,False,False,False,False,False,True,False,False,False,False,True,False,True,False
10,96.86893584,2,1,3,1,157.7918423,0,29.23019233,False,False,False,False,False,False,False,False,True,False,False,False,False,True
9,31.50465683,5,4,4,1,184.9656531,0,30.27609174,False,False,False,False,False,False,False,True,True,True,False,False,False,False
10,66.94288625,2,3,2,0,169.7999708,0,19.60595546,False,False,False,False,False,False,False,False,True,False,True,False,True,False
10,57.5517423,8,2,5,1,143.6841772,1,29.90835004,False,False,False,False,False,False,False,False,False,True,False,False,False,False
5,82.66403504,0,3,4,0,103.9151769,1,34.70906155,False,False,False,True,False,False,False,False,False,False,False,False,False,True
7,59.95140387,1,8,1,0,145.7477583,0,23.62483596,False,False,False,False,True,False,False,False,False,False,True,False,True,False
4,57.22915006,5,5,3,2,123.63184,1,28.72958167,False,False,True,False,False,False,False,False,True,True,False,False,False,False
5,67.80237783,0,3,3,1,146.0848319,0,29.66877756,False,False,True,False,False,False,False,False,False,False,True,False,False,True
12,26.27707916,6,4,3,2,167.0934414,1,30.39028934,False,True,False,False,False,False,False,False,True,True,False,False,False,False
12,54.07406388,1,6,2,0,162.1932864,0,17.88642447,False,True,False,False,False,False,False,False,False,False,True,False,True,False
11,41.0085513,4,1,5,1,192.0164371,0,23.35056615,True,False,False,False,False,False,False,False,False,True,False,False,False,False
5,55.32641657,2,7,5,1,125.5314158,0,49.43172066,False,False,True,False,False,False,False,False,True,False,True,True,False,False
9,43.3034379,7,2,5,1,231.6493754,1,24.08025827,False,False,False,False,False,False,True,False,False,True,False,False,False,False
10,27.08438117,6,1,5,1,126.1868249,1,21.7847047,False,False,False,False,False,False,False,False,True,True,False,False,False,False
8,86.73803107,4,0,2,0,140.8680895,0,23.74039519,False,False,False,False,False,True,False,False,True,False,True,False,True,False
8,56.39455945,2,11,5,0,124.0981866,1,45.15918368,False,False,False,False,False,True,False,False,False,False,True,True,False,False
9,87.4203212,0,3,3,0,142.7966312,0,20.76875723,False,False,False,False,False,False,False,True,False,False,False,False,False,True
7,41.88692099,1,7,7,1,89.90910952,1,42.3834454,False,False,False,False,False,True,False,False,True,False,True,True,False,False
9,62.41171712,0,7,1,0,164.9157384,0,21.15612191,False,False,False,False,False,False,True,False,True,False,True,False,True,False
12,63.97038018,8,1,4,1,199.1951513,0,22.88332593,True,False,False,False,False,False,False,False,False,True,False,False,False,False
11,103.0885422,1,1,2,0,130.093632,0,26.4897593,True,False,False,False,False,False,False,False,False,False,True,False,False,True
10,90.1118689,1,1,2,1,169.4408154,0,31.00430684,False,False,False,False,False,False,False,True,False,False,True,False,False,True
11,53.79218725,2,2,4,2,176.5142034,0,22.56497462,True,False,False,False,False,False,False,False,True,True,False,False,False,False
4,24.31038367,5,1,4,2,133.0544048,0,21.11231489,False,False,True,False,False,False,False,False,False,True,False,False,False,False
9,43.70859352,4,7,6,1,101.9734068,0,40.59131533,False,False,False,False,False,False,False,True,True,False,True,True,False,False
6,98.34163803,0,4,3,1,159.7778464,0,30.99423667,False,False,False,True,False,False,False,False,False,False,False,False,False,True
11,73.74273122,1,3,4,1,138.3291084,1,29.20330743,True,False,False,False,False,False,False,False,False,False,False,False,False,True
5,39.97039119,6,3,3,1,164.521307,0,29.13090549,False,False,False,True,False,False,False,False,True,True,False,False,False,False
6,51.81588754,4,9,4,1,192.4404239,1,50.64394254,False,False,False,True,False,False,False,False,True,False,True,True,False,False
8,64.55009438,3,14,5,1,104.500847,1,45.20670966,False,False,False,False,False,False,True,False,True,False,True,True,False,False
8,27.71869875,5,0,4,2,133.2038731,1,28.1402968,False,False,False,False,False,False,True,False,False,True,False,False,False,False
10,69.70826022,1,6,1,0,150.3582729,0,22.60389106,False,False,False,False,False,False,False,True,True,False,True,False,True,False
7,69.13177627,1,2,2,0,141.2860905,0,18.96759451,False,False,False,False,False,True,False,False,False,False,True,False,True,False
10,57.79815825,1,2,1,0,219.5151116,0,20.75491386,False,False,False,False,False,False,False,False,False,False,True,False,True,False
10,45.47455572,2,15,7,0,78.04092598,0,34.14433754,False,False,False,False,False,False,False,True,False,False,True,True,False,False
8,75.46999676,0,5,4,0,176.2949392,0,33.37700122,False,False,False,False,False,True,False,False,False,False,True,False,False,True
8,65.13864746,3,4,3,0,136.4213891,1,26.86665722,False,False,False,False,False,True,False,False,True,False,False,False,False,True
6,75.21872209,2,20,5,1,112.1913237,1,38.79315513,False,False,False,False,True,False,False,False,False,False,False,True,False,False
10,46.92357066,1,7,2,0,203.6797168,0,19.51074965,False,False,False,False,False,False,False,False,False,False,True,False,True,False
10,59.04108133,2,9,6,0,122.0453522,1,51.57353894,False,False,False,False,False,False,False,False,True,False,False,True,False,False
7,82.57707331,3,5,4,0,138.4239004,1,37.00367674,False,False,False,False,False,True,False,False,True,False,True,False,False,True
5,51.09768072,1,16,4,1,165.8614757,0,41.7228334,False,False,True,False,False,False,False,False,False,False,False,True,False,False
7,28.00694095,1,15,5,1,99.46859717,0,28.67740623,False,False,False,False,False,True,False,False,True,False,False,True,False,False
10,76.13932658,1,5,3,0,148.5287186,1,32.20592339,False,False,False,False,False,False,False,False,False,False,True,False,False,True
10,29.49670025,7,2,4,2,190.8381406,0,24.82553111,False,False,False,False,False,False,False,False,True,True,False,False,False,False
10,64.3155732,0,15,7,0,158.1001892,0,29.02575861,False,False,False,False,False,False,False,False,False,False,True,True,False,False
7,83.01451632,2,2,4,0,171.9728212,1,30.48419473,False,False,False,False,True,False,False,False,False,False,True,False,False,True
8,55.91732293,4,9,6,1,115.4423839,1,47.85087198,False,False,False,False,False,True,False,False,False,False,True,True,False,False
4,84.57028525,1,4,2,0,154.4491103,1,29.2695148,False,False,True,False,False,False,False,False,False,False,True,False,False,True
10,44.44690845,6,4,3,2,146.2980911,1,26.56467423,False,False,False,False,False,False,False,True,True,True,False,False,False,False
11,73.42657958,2,9,7,1,119.1146575,1,47.3969905,False,False,False,False,False,False,False,False,True,False,True,True,False,False
11,73.77276531,0,2,4,0,175.1408208,1,26.36370171,True,False,False,False,False,False,False,False,False,False,False,False,False,True
8,67.54073885,2,2,1,0,178.6533109,0,15.42764345,False,False,False,False,False,True,False,False,False,False,True,False,True,False
12,28.7811376,8,3,5,1,134.9654758,1,26.85029859,False,True,False,False,False,False,False,False,False,True,False,False,False,False
8,44.40202401,1,7,4,1,161.8596478,0,33.97628635,False,False,False,False,False,True,False,False,False,False,True,True,False,False
7,90.93849096,1,1,2,1,141.1017226,1,22.60446943,False,False,False,False,True,False,False,False,True,False,False,False,False,True
10,49.96416812,2,2,1,0,140.6059065,0,21.44924977,False,False,False,False,False,False,False,True,True,False,True,False,True,False
9,69.58722578,0,4,2,0,212.9685747,0,15.74265395,False,False,False,False,False,False,True,False,False,False,True,False,True,False
12,74.6458231,0,5,2,0,156.9274402,0,14.48505478,False,True,False,False,False,False,False,False,False,False,True,False,True,False
12,38.05910546,5,6,6,1,111.1550091,0,46.00558533,True,False,False,False,False,False,False,False,True,False,True,True,False,False
11,37.07430299,6,3,3,1,184.9532165,0,26.73646587,True,False,False,False,False,False,False,False,False,True,False,False,False,False
7,35.79816178,2,1,5,2,149.5956937,0,24.12760429,False,False,False,False,False,True,False,False,True,True,False,False,False,False
8,50.81473171,5,2,5,1,185.6560256,0,21.38141317,False,False,False,False,False,False,True,False,False,True,False,False,False,False
5,34.18292441,6,1,4,1,124.79817,1,20.18190537,False,False,False,True,False,False,False,False,True,True,False,False,False,False
7,45.76149131,5,1,5,2,118.9466783,1,24.08583182,False,False,False,False,False,True,False,False,True,True,False,False,False,False
12,56.84446498,1,5,2,0,159.9358239,0,25.04290463,True,False,False,False,False,False,False,False,False,False,True,False,True,False
6,90.87848091,0,2,4,1,164.5778987,1,25.40360267,False,False,False,True,False,False,False,False,False,False,False,False,False,True
9,87.81385305,3,2,4,1,161.9746217,1,36.38144787,False,False,False,False,False,False,False,True,False,False,False,False,False,True
8,86.76016194,2,3,3,0,150.0235471,1,33.70516739,False,False,False,False,False,False,True,False,True,False,False,False,False,True
5,59.3233855,0,4,1,0,183.3412961,0,21.62106693,False,False,True,False,False,False,False,False,True,False,True,False,True,False
11,69.26715277,0,4,1,0,173.1939078,0,22.72064308,False,False,False,False,False,False,False,False,True,False,True,False,True,False
12,40.46524089,2,11,7,0,118.3280358,1,45.17907215,False,True,False,False,False,False,False,False,False,False,True,True,False,False
11,72.54886077,4,11,4,1,153.5366331,0,50.56956124,True,False,False,False,False,False,False,False,True,False,False,True,False,False
6,66.76390475,3,2,2,0,193.6469097,0,14.63697178,False,False,False,True,False,False,False,False,True,False,True,False,True,False
5,67.52188122,1,1,1,0,119.4132909,0,18.99967215,False,False,False,True,False,False,False,False,True,False,True,False,True,False
6,81.43480233,0,1,4,0,157.4843736,1,32.51205212,False,False,False,True,False,False,False,False,True,False,True,False,False,True
11,28.2345675,4,3,4,1,119.5263301,0,27.98871845,True,False,False,False,False,False,False,False,True,True,False,False,False,False
5,48.29407906,3,7,4,1,95.01379682,0,40.39822192,False,False,True,False,False,False,False,False,True,False,False,True,False,False
7,44.1079179,2,11,7,0,119.0622978,1,48.87029291,False,False,False,False,True,False,False,False,False,False,True,True,False,False
12,52.53596378,2,11,4,0,115.884437,0,44.94950389,False,True,False,False,False,False,False,False,False,False,False,True,False,False
11,70.354606,1,8,6,1,115.595958,1,48.59114358,False,False,False,False,False,False,False,False,True,False,True,True,False,False
9,97.13791027,1,2,2,1,132.1085739,0,26.83542807,False,False,False,False,False,False,True,False,False,False,False,False,False,True
4,38.74435245,9,2,5,1,157.13594,1,21.32896783,False,False,True,False,False,False,False,False,True,True,False,False,False,False
6,53.05534003,3,2,5,1,143.6860931,1,26.80555919,False,False,False,True,False,False,False,False,True,True,False,False,False,False
7,69.15459112,1,6,4,1,113.6090581,0,43.41708355,False,False,False,False,False,True,False,False,False,False,True,True,False,False
8,78.128812,3,4,2,0,149.30935,1,32.18969955,False,False,False,False,False,True,False,False,False,False,False,False,False,True
6,33.22513226,5,2,3,2,209.8495112,0,22.65286214,False,False,False,True,False,False,False,False,False,True,False,False,False,False
10,66.72619673,0,5,1,0,187.7728561,0,24.72107051,False,False,False,False,False,False,False,False,True,False,True,False,True,False
7,39.80907012,2,3,5,1,161.667431,0,18.5775204,False,False,False,False,True,False,False,False,True,True,False,False,False,False
12,82.8413825,1,2,2,0,177.7258285,1,28.92194981,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10,44.55859484,3,3,1,0,172.0445522,0,22.48015093,False,False,False,False,False,False,False,False,True,False,True,False,True,False
10,75.94976796,2,7,1,0,164.8834813,0,21.01473747,False,False,False,False,False,False,False,False,True,False,True,False,True,False
9,41.63710583,4,2,4,2,194.7200251,1,23.60304795,False,False,False,False,False,False,True,False,False,True,False,False,False,False
8,44.60967352,4,3,5,1,189.3520446,0,23.44288784,False,False,False,False,False,True,False,False,True,True,False,False,False,False
11,26.22348822,1,7,6,1,152.9775401,1,39.69482168,False,False,False,False,False,False,False,False,False,False,False,True,False,False
7,77.95233637,0,3,3,1,140.7852897,1,20.64271597,False,False,False,False,True,False,False,False,False,False,True,False,False,True
5,73.67886343,0,3,2,1,137.8882708,1,23.25179166,False,False,False,True,False,False,False,False,True,False,False,False,False,True
10,84.08317261,0,4,4,1,148.5555424,1,29.26374265,False,False,False,False,False,False,False,False,True,False,True,False,False,True
6,87.66587911,1,6,4,1,126.744255,0,35.46386016,False,False,False,True,False,False,False,False,False,False,False,False,False,True
12,50.13676705,3,2,4,2,166.9890448,1,26.09048001,True,False,False,False,False,False,False,False,True,True,False,False,False,False
5,37.90108337,5,1,4,2,150.923072,1,22.69395011,False,False,True,False,False,False,False,False,False,True,False,False,False,False
12,72.10001679,2,4,2,0,191.8683315,0,24.68285908,True,False,False,False,False,False,False,False,True,False,True,False,True,False
10,89.97312857,3,6,3,0,132.7491751,0,33.10643992,False,False,False,False,False,False,False,False,True,False,False,False,False,True
6,84.81870315,1,4,4,0,189.5405117,1,25.70390362,False,False,False,True,False,False,False,False,True,False,False,False,False,True
5,62.37318012,3,11,7,0,109.6310961,0,47.91519899,False,False,True,False,False,False,False,False,False,False,False,True,False,False
10,51.93391053,1,3,1,0,160.6180994,0,21.37250082,False,False,False,False,False,False,False,True,True,False,True,False,True,False
9,41.68722826,3,12,7,1,81.99096318,1,52.45431094,False,False,False,False,False,False,True,False,True,False,False,True,False,False
7,98.30211029,1,1,2,0,142.0503756,0,34.3134407,False,False,False,False,False,True,False,False,False,False,False,False,False,True
8,55.92334038,1,8,7,0,124.669563,0,34.96415173,False,False,False,False,False,False,True,False,False,False,False,True,False,False
8,88.89647582,1,6,2,0,153.694774,1,36.45989786,False,False,False,False,False,True,False,False,True,False,False,False,False,True
11,46.80283599,0,8,1,0,214.8595864,0,15.84687061,False,False,False,False,False,False,False,False,True,False,True,False,True,False
9,63.01855844,7,0,5,1,162.0064012,0,28.10140912,False,False,False,False,False,False,True,False,True,True,False,False,False,False
9,71.65707841,1,4,2,0,178.1760255,0,21.15046542,False,False,False,False,False,False,False,True,True,False,True,False,True,False
4,24.74094043,5,3,4,1,208.91118,1,23.63419226,False,False,True,False,False,False,False,False,True,True,False,False,False,False
5,18.54167995,8,1,3,1,161.734269,1,22.78999117,False,False,False,True,False,False,False,False,True,True,False,False,False,False
8,32.84130438,4,9,5,1,135.1222108,0,39.76842566,False,False,False,False,False,False,True,False,True,False,False,True,False,False
7,37.83495374,3,4,3,2,132.7820429,1,25.23774021,False,False,False,False,False,True,False,False,True,True,False,False,False,False
11,30.25328353,2,2,5,2,153.6612647,1,23.72459232,False,False,False,False,False,False,False,False,False,True,False,False,False,False
12,30.59069421,1,10,4,0,132.6298664,0,46.05603357,True,False,False,False,False,False,False,False,False,False,True,True,False,False
6,57.68882344,1,3,1,0,121.0718171,0,24.21761049,False,False,False,True,False,False,False,False,False,False,True,False,True,False
10,42.27952738,7,1,5,1,190.1219443,1,21.80038526,False,False,False,False,False,False,False,False,True,True,False,False,False,False
12,36.96214399,3,2,5,2,138.684338,0,23.33257944,False,True,False,False,False,False,False,False,True,True,False,False,False,False
7,58.36945154,0,4,2,0,164.2218984,0,27.50350648,False,False,False,False,True,False,False,False,False,False,True,False,True,False
5,37.87183632,2,9,4,0,112.9272087,0,34.13273684,False,False,False,True,False,False,False,False,True,False,True,True,False,False
4,54.0854069,3,10,6,0,115.4140533,0,42.33231434,False,False,True,False,False,False,False,False,True,False,False,True,False,False
5,53.98168205,0,3,1,0,175.9234756,0,22.62807301,False,False,True,False,False,False,False,False,True,False,True,False,True,False
9,74.49793729,0,5,2,1,182.25644,0,23.80039277,False,False,False,False,False,False,False,True,False,False,False,False,False,True
6,70.04826892,1,8,6,1,114.6584823,0,54.73750998,False,False,False,False,True,False,False,False,True,False,True,True,False,False
7,43.04743869,3,3,4,1,199.5861837,1,27.89223262,False,False,False,False,True,False,False,False,True,True,False,False,False,False
6,36.41286393,5,2,5,1,144.4935294,0,22.95483689,False,False,False,False,True,False,False,False,False,True,False,False,False,False
6,19.4134319,2,3,3,1,143.7581391,1,28.55039303,False,False,False,True,False,False,False,False,True,True,False,False,False,False
12,112.5772592,0,2,4,0,163.6188209,1,29.11015174,False,True,False,False,False,False,False,False,False,False,True,False,False,True
4,54.18769732,1,7,2,0,204.0520459,0,17.68042504,False,False,True,False,False,False,False,False,True,False,True,False,True,False
8,78.9373843,1,3,4,0,166.3918782,0,37.21763511,False,False,False,False,False,True,False,False,True,False,True,False,False,True
6,39.52158256,1,18,7,1,102.4942938,1,45.05295292,False,False,False,False,True,False,False,False,True,False,True,True,False,False
9,55.20422109,1,10,7,1,145.8496281,1,54.62507094,False,False,False,False,False,False,True,False,True,False,True,True,False,False
7,50.87623087,1,4,5,1,179.4000639,0,31.24753515,False,False,False,False,False,True,False,False,False,True,False,False,False,False
8,96.55498366,0,0,3,0,163.3693458,0,22.36672754,False,False,False,False,False,True,False,False,False,False,False,False,False,True
9,62.36444877,6,4,3,0,130.6255698,0,33.2810856,False,False,False,False,False,False,False,True,True,False,True,False,False,True
8,44.58211989,4,14,5,0,148.0751228,1,44.55049647,False,False,False,False,False,False,True,False,False,False,True,True,False,False
11,72.49021028,1,4,2,0,177.1552317,0,20.14668755,False,False,False,False,False,False,False,False,True,False,True,False,True,False
10,41.59745347,1,6,2,0,231.4290406,0,22.15694621,False,False,False,False,False,False,False,False,False,False,True,False,True,False
11,77.29286313,1,15,4,1,197.4146818,0,31.77711992,True,False,False,False,False,False,False,False,True,False,True,True,False,False
12,38.65023813,1,8,5,1,105.5923698,1,45.67402064,False,True,False,False,False,False,False,False,False,False,True,True,False,False
12,91.66086649,0,2,2,1,187.9720004,0,39.25873805,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10,45.74144199,2,11,5,0,134.5438933,1,38.28129984,False,False,False,False,False,False,False,False,True,False,False,True,False,False
7,55.72326915,2,4,1,0,178.4185251,0,17.13360068,False,False,False,False,True,False,False,False,True,False,True,False,True,False
5,38.52730124,2,8,6,0,127.7626876,0,47.02416844,False,False,False,True,False,False,False,False,True,False,False,True,False,False
12,50.48755025,3,0,3,2,191.2292729,1,19.74004242,False,True,False,False,False,False,False,False,False,True,False,False,False,False
7,74.27962994,2,3,4,0,129.9154158,0,30.48080368,False,False,False,False,True,False,False,False,False,False,False,False,False,True
5,66.66543258,0,5,4,0,141.095684,1,22.87698492,False,False,False,True,False,False,False,False,False,False,False,False,False,True
6,42.96968396,8,0,4,2,135.8610101,1,29.99508647,False,False,False,False,True,False,False,False,True,True,False,False,False,False
